group,subgroup,boro,outcome,count,day
Sex,Female,BK,CASE_COUNT,46468,2020-12-12
Sex,Female,BK,CASE_RATE,3447.93,2020-12-12
Sex,Female,BX,CASE_COUNT,34591,2020-12-12
Sex,Female,BX,CASE_RATE,4620.39,2020-12-12
Sex,Female,MN,CASE_COUNT,21748,2020-12-12
Sex,Female,MN,CASE_RATE,2537.01,2020-12-12
Sex,Female,QN,CASE_COUNT,45976,2020-12-12
Sex,Female,QN,CASE_RATE,3963.55,2020-12-12
Sex,Female,SI,CASE_COUNT,12232,2020-12-12
Sex,Female,SI,CASE_RATE,4996.47,2020-12-12
Sex,Male,BK,CASE_COUNT,45732,2020-12-12
Sex,Male,BK,CASE_RATE,3772.66,2020-12-12
Sex,Male,BX,CASE_COUNT,32383,2020-12-12
Sex,Male,BX,CASE_RATE,4836.55,2020-12-12
Sex,Male,MN,CASE_COUNT,22800,2020-12-12
Sex,Male,MN,CASE_RATE,2955.37,2020-12-12
Sex,Male,QN,CASE_COUNT,48051,2020-12-12
Sex,Male,QN,CASE_RATE,4392.68,2020-12-12
Sex,Male,SI,CASE_COUNT,12558,2020-12-12
Sex,Male,SI,CASE_RATE,5428.61,2020-12-12
Sex,Female,BK,DEATH_COUNT,2372,2020-12-12
Sex,Female,BK,DEATH_RATE,176,2020-12-12
Sex,Female,BX,DEATH_COUNT,1706,2020-12-12
Sex,Female,BX,DEATH_RATE,227.87,2020-12-12
Sex,Female,MN,DEATH_COUNT,1071,2020-12-12
Sex,Female,MN,DEATH_RATE,124.94,2020-12-12
Sex,Female,QN,DEATH_COUNT,2394,2020-12-12
Sex,Female,QN,DEATH_RATE,206.38,2020-12-12
Sex,Female,SI,DEATH_COUNT,415,2020-12-12
Sex,Female,SI,DEATH_RATE,169.52,2020-12-12
Sex,Male,BK,DEATH_COUNT,3528,2020-12-12
Sex,Male,BK,DEATH_RATE,291.04,2020-12-12
Sex,Male,BX,DEATH_COUNT,2404,2020-12-12
Sex,Male,BX,DEATH_RATE,359.05,2020-12-12
Sex,Male,MN,DEATH_COUNT,1518,2020-12-12
Sex,Male,MN,DEATH_RATE,196.77,2020-12-12
Sex,Male,QN,DEATH_COUNT,3762,2020-12-12
Sex,Male,QN,DEATH_RATE,343.91,2020-12-12
Sex,Male,SI,DEATH_COUNT,574,2020-12-12
Sex,Male,SI,DEATH_RATE,248.13,2020-12-12
Sex,Female,BK,HOSPITALIZED_COUNT,8415,2020-12-12
Sex,Female,BK,HOSPITALIZED_RATE,624.39,2020-12-12
Sex,Female,BX,HOSPITALIZED_COUNT,6390,2020-12-12
Sex,Female,BX,HOSPITALIZED_RATE,853.53,2020-12-12
Sex,Female,MN,HOSPITALIZED_COUNT,3938,2020-12-12
Sex,Female,MN,HOSPITALIZED_RATE,459.39,2020-12-12
Sex,Female,QN,HOSPITALIZED_COUNT,8304,2020-12-12
Sex,Female,QN,HOSPITALIZED_RATE,715.88,2020-12-12
Sex,Female,SI,HOSPITALIZED_COUNT,1423,2020-12-12
Sex,Female,SI,HOSPITALIZED_RATE,581.26,2020-12-12
Sex,Male,BK,HOSPITALIZED_COUNT,9889,2020-12-12
Sex,Male,BK,HOSPITALIZED_RATE,815.79,2020-12-12
Sex,Male,BX,HOSPITALIZED_COUNT,7486,2020-12-12
Sex,Male,BX,HOSPITALIZED_RATE,1118.07,2020-12-12
Sex,Male,MN,HOSPITALIZED_COUNT,5102,2020-12-12
Sex,Male,MN,HOSPITALIZED_RATE,661.33,2020-12-12
Sex,Male,QN,HOSPITALIZED_COUNT,11234,2020-12-12
Sex,Male,QN,HOSPITALIZED_RATE,1026.98,2020-12-12
Sex,Male,SI,HOSPITALIZED_COUNT,1778,2020-12-12
Sex,Male,SI,HOSPITALIZED_RATE,768.6,2020-12-12
