group,subgroup,boro,outcome,count,day
Sex,Female,BK,CASE_COUNT,46819,2020-12-13
Sex,Female,BK,CASE_RATE,3473.97,2020-12-13
Sex,Female,BX,CASE_COUNT,34865,2020-12-13
Sex,Female,BX,CASE_RATE,4656.99,2020-12-13
Sex,Female,MN,CASE_COUNT,21933,2020-12-13
Sex,Female,MN,CASE_RATE,2558.6,2020-12-13
Sex,Female,QN,CASE_COUNT,46361,2020-12-13
Sex,Female,QN,CASE_RATE,3996.74,2020-12-13
Sex,Female,SI,CASE_COUNT,12381,2020-12-13
Sex,Female,SI,CASE_RATE,5057.33,2020-12-13
Sex,Male,BK,CASE_COUNT,46049,2020-12-13
Sex,Male,BK,CASE_RATE,3798.81,2020-12-13
Sex,Male,BX,CASE_COUNT,32577,2020-12-13
Sex,Male,BX,CASE_RATE,4865.52,2020-12-13
Sex,Male,MN,CASE_COUNT,22989,2020-12-13
Sex,Male,MN,CASE_RATE,2979.86,2020-12-13
Sex,Male,QN,CASE_COUNT,48432,2020-12-13
Sex,Male,QN,CASE_RATE,4427.51,2020-12-13
Sex,Male,SI,CASE_COUNT,12675,2020-12-13
Sex,Male,SI,CASE_RATE,5479.19,2020-12-13
Sex,Female,BK,DEATH_COUNT,2374,2020-12-13
Sex,Female,BK,DEATH_RATE,176.15,2020-12-13
Sex,Female,BX,DEATH_COUNT,1707,2020-12-13
Sex,Female,BX,DEATH_RATE,228.01,2020-12-13
Sex,Female,MN,DEATH_COUNT,1073,2020-12-13
Sex,Female,MN,DEATH_RATE,125.17,2020-12-13
Sex,Female,QN,DEATH_COUNT,2396,2020-12-13
Sex,Female,QN,DEATH_RATE,206.56,2020-12-13
Sex,Female,SI,DEATH_COUNT,413,2020-12-13
Sex,Female,SI,DEATH_RATE,168.7,2020-12-13
Sex,Male,BK,DEATH_COUNT,3533,2020-12-13
Sex,Male,BK,DEATH_RATE,291.45,2020-12-13
Sex,Male,BX,DEATH_COUNT,2405,2020-12-13
Sex,Male,BX,DEATH_RATE,359.2,2020-12-13
Sex,Male,MN,DEATH_COUNT,1521,2020-12-13
Sex,Male,MN,DEATH_RATE,197.15,2020-12-13
Sex,Male,QN,DEATH_COUNT,3766,2020-12-13
Sex,Male,QN,DEATH_RATE,344.28,2020-12-13
Sex,Male,SI,DEATH_COUNT,573,2020-12-13
Sex,Male,SI,DEATH_RATE,247.7,2020-12-13
Sex,Female,BK,HOSPITALIZED_COUNT,8450,2020-12-13
Sex,Female,BK,HOSPITALIZED_RATE,626.99,2020-12-13
Sex,Female,BX,HOSPITALIZED_COUNT,6415,2020-12-13
Sex,Female,BX,HOSPITALIZED_RATE,856.87,2020-12-13
Sex,Female,MN,HOSPITALIZED_COUNT,3957,2020-12-13
Sex,Female,MN,HOSPITALIZED_RATE,461.6,2020-12-13
Sex,Female,QN,HOSPITALIZED_COUNT,8332,2020-12-13
Sex,Female,QN,HOSPITALIZED_RATE,718.3,2020-12-13
Sex,Female,SI,HOSPITALIZED_COUNT,1438,2020-12-13
Sex,Female,SI,HOSPITALIZED_RATE,587.39,2020-12-13
Sex,Male,BK,HOSPITALIZED_COUNT,9915,2020-12-13
Sex,Male,BK,HOSPITALIZED_RATE,817.94,2020-12-13
Sex,Male,BX,HOSPITALIZED_COUNT,7508,2020-12-13
Sex,Male,BX,HOSPITALIZED_RATE,1121.35,2020-12-13
Sex,Male,MN,HOSPITALIZED_COUNT,5119,2020-12-13
Sex,Male,MN,HOSPITALIZED_RATE,663.53,2020-12-13
Sex,Male,QN,HOSPITALIZED_COUNT,11257,2020-12-13
Sex,Male,QN,HOSPITALIZED_RATE,1029.08,2020-12-13
Sex,Male,SI,HOSPITALIZED_COUNT,1792,2020-12-13
Sex,Male,SI,HOSPITALIZED_RATE,774.65,2020-12-13
