group,subgroup,boro,outcome,count,day
Age,0-4,BK,CASE_COUNT,1442,2020-12-19
Age,0-4,BK,CASE_RATE,788.3,2020-12-19
Age,0-4,BX,CASE_COUNT,954,2020-12-19
Age,0-4,BX,CASE_RATE,952.11,2020-12-19
Age,0-4,MN,CASE_COUNT,523,2020-12-19
Age,0-4,MN,CASE_RATE,686.86,2020-12-19
Age,0-4,QN,CASE_COUNT,1042,2020-12-19
Age,0-4,QN,CASE_RATE,760.06,2020-12-19
Age,0-4,SI,CASE_COUNT,389,2020-12-19
Age,0-4,SI,CASE_RATE,1422.1,2020-12-19
Age,5-12,BK,CASE_COUNT,3002,2020-12-19
Age,5-12,BK,CASE_RATE,1191.39,2020-12-19
Age,5-12,BX,CASE_COUNT,1884,2020-12-19
Age,5-12,BX,CASE_RATE,1217.76,2020-12-19
Age,5-12,MN,CASE_COUNT,934,2020-12-19
Age,5-12,MN,CASE_RATE,941.54,2020-12-19
Age,5-12,QN,CASE_COUNT,2294,2020-12-19
Age,5-12,QN,CASE_RATE,1170.89,2020-12-19
Age,5-12,SI,CASE_COUNT,852,2020-12-19
Age,5-12,SI,CASE_RATE,1862.09,2020-12-19
Age,13-17,BK,CASE_COUNT,3096,2020-12-19
Age,13-17,BK,CASE_RATE,2208.88,2020-12-19
Age,13-17,BX,CASE_COUNT,1680,2020-12-19
Age,13-17,BX,CASE_RATE,1823.89,2020-12-19
Age,13-17,MN,CASE_COUNT,893,2020-12-19
Age,13-17,MN,CASE_RATE,1597.06,2020-12-19
Age,13-17,QN,CASE_COUNT,2275,2020-12-19
Age,13-17,QN,CASE_RATE,1981.84,2020-12-19
Age,13-17,SI,CASE_COUNT,895,2020-12-19
Age,13-17,SI,CASE_RATE,2996.72,2020-12-19
Age,18-24,BK,CASE_COUNT,8039,2020-12-19
Age,18-24,BK,CASE_RATE,3868.11,2020-12-19
Age,18-24,BX,CASE_COUNT,4963,2020-12-19
Age,18-24,BX,CASE_RATE,3561.7,2020-12-19
Age,18-24,MN,CASE_COUNT,3809,2020-12-19
Age,18-24,MN,CASE_RATE,2615.19,2020-12-19
Age,18-24,QN,CASE_COUNT,7050,2020-12-19
Age,18-24,QN,CASE_RATE,4094.6,2020-12-19
Age,18-24,SI,CASE_COUNT,2532,2020-12-19
Age,18-24,SI,CASE_RATE,6382.33,2020-12-19
Age,25-34,BK,CASE_COUNT,17472,2020-12-19
Age,25-34,BK,CASE_RATE,3717.12,2020-12-19
Age,25-34,BX,CASE_COUNT,12050,2020-12-19
Age,25-34,BX,CASE_RATE,5299.43,2020-12-19
Age,25-34,MN,CASE_COUNT,10326,2020-12-19
Age,25-34,MN,CASE_RATE,2853.44,2020-12-19
Age,25-34,QN,CASE_COUNT,17220,2020-12-19
Age,25-34,QN,CASE_RATE,4787.63,2020-12-19
Age,25-34,SI,CASE_COUNT,4593,2020-12-19
Age,25-34,SI,CASE_RATE,7096.83,2020-12-19
Age,35-44,BK,CASE_COUNT,15181,2020-12-19
Age,35-44,BK,CASE_RATE,4240.67,2020-12-19
Age,35-44,BX,CASE_COUNT,11218,2020-12-19
Age,35-44,BX,CASE_RATE,6253.27,2020-12-19
Age,35-44,MN,CASE_COUNT,7122,2020-12-19
Age,35-44,MN,CASE_RATE,3041.55,2020-12-19
Age,35-44,QN,CASE_COUNT,16655,2020-12-19
Age,35-44,QN,CASE_RATE,5439.34,2020-12-19
Age,35-44,SI,CASE_COUNT,4243,2020-12-19
Age,35-44,SI,CASE_RATE,7170.38,2020-12-19
Age,45-54,BK,CASE_COUNT,14442,2020-12-19
Age,45-54,BK,CASE_RATE,4889.53,2020-12-19
Age,45-54,BX,CASE_COUNT,12233,2020-12-19
Age,45-54,BX,CASE_RATE,7039.97,2020-12-19
Age,45-54,MN,CASE_COUNT,6654,2020-12-19
Age,45-54,MN,CASE_RATE,3402.14,2020-12-19
Age,45-54,QN,CASE_COUNT,17551,2020-12-19
Age,45-54,QN,CASE_RATE,5865.96,2020-12-19
Age,45-54,SI,CASE_COUNT,4482,2020-12-19
Age,45-54,SI,CASE_RATE,6984.35,2020-12-19
Age,55-64,BK,CASE_COUNT,15255,2020-12-19
Age,55-64,BK,CASE_RATE,5338.86,2020-12-19
Age,55-64,BX,CASE_COUNT,12004,2020-12-19
Age,55-64,BX,CASE_RATE,7385.49,2020-12-19
Age,55-64,MN,CASE_COUNT,6899,2020-12-19
Age,55-64,MN,CASE_RATE,3748.25,2020-12-19
Age,55-64,QN,CASE_COUNT,17162,2020-12-19
Age,55-64,QN,CASE_RATE,5711.76,2020-12-19
Age,55-64,SI,CASE_COUNT,4321,2020-12-19
Age,55-64,SI,CASE_RATE,6534.1,2020-12-19
Age,65-74,BK,CASE_COUNT,11066,2020-12-19
Age,65-74,BK,CASE_RATE,5263.43,2020-12-19
Age,65-74,BX,CASE_COUNT,7204,2020-12-19
Age,65-74,BX,CASE_RATE,6880.41,2020-12-19
Age,65-74,MN,CASE_COUNT,4987,2020-12-19
Age,65-74,MN,CASE_RATE,3340.01,2020-12-19
Age,65-74,QN,CASE_COUNT,10095,2020-12-19
Age,65-74,QN,CASE_RATE,4856.19,2020-12-19
Age,65-74,SI,CASE_COUNT,2375,2020-12-19
Age,65-74,SI,CASE_RATE,5090.12,2020-12-19
Age,75+,BK,CASE_COUNT,9100,2020-12-19
Age,75+,BK,CASE_RATE,5772.61,2020-12-19
Age,75+,BX,CASE_COUNT,6092,2020-12-19
Age,75+,BX,CASE_RATE,7246.95,2020-12-19
Age,75+,MN,CASE_COUNT,5365,2020-12-19
Age,75+,MN,CASE_RATE,4230.74,2020-12-19
Age,75+,QN,CASE_COUNT,8514,2020-12-19
Age,75+,QN,CASE_RATE,5306.19,2020-12-19
Age,75+,SI,CASE_COUNT,2074,2020-12-19
Age,75+,SI,CASE_RATE,6353.78,2020-12-19
Age,0-17,BK,DEATH_COUNT,6,2020-12-19
Age,0-17,BK,DEATH_RATE,1.04,2020-12-19
Age,0-17,BX,DEATH_COUNT,6,2020-12-19
Age,0-17,BX,DEATH_RATE,1.73,2020-12-19
Age,0-17,MN,DEATH_COUNT,1,2020-12-19
Age,0-17,MN,DEATH_RATE,0.43,2020-12-19
Age,0-17,QN,DEATH_COUNT,3,2020-12-19
Age,0-17,QN,DEATH_RATE,0.67,2020-12-19
Age,0-17,SI,DEATH_COUNT,0,2020-12-19
Age,0-17,SI,DEATH_RATE,0,2020-12-19
Age,18-24,BK,DEATH_COUNT,14,2020-12-19
Age,18-24,BK,DEATH_RATE,6.74,2020-12-19
Age,18-24,BX,DEATH_COUNT,6,2020-12-19
Age,18-24,BX,DEATH_RATE,4.31,2020-12-19
Age,18-24,MN,DEATH_COUNT,4,2020-12-19
Age,18-24,MN,DEATH_RATE,2.75,2020-12-19
Age,18-24,QN,DEATH_COUNT,7,2020-12-19
